agbd,rh98,lat,lon,NDVI,EVI,NDMI,NBR,SAVI,B02_Blue,B04_Red,B08_NIR,B11_SWIR1,B12_SWIR2
142.07173,23.51,10.726086388326458,92.44171242463456,0.6796117,0.41932908,0.19502649,0.49266607,0.38936958,0.0406,0.0495,0.2595,0.1748,0.0882
110.15936,24.3,10.726501628782309,92.44202038898128,0.7453183,0.49486074,0.21222629,0.5084974,0.43661627,0.0424,0.0408,0.2796,0.1817,0.0911
61.796486,19.2,10.726914851461226,92.44232755246719,0.7495827,0.5234524,0.2864157,0.57633495,0.4702118,0.0397,0.045,0.3144,0.1744,0.0845
116.142624,23.4,10.727331993022135,92.44263626217116,0.6670224,0.3947867,0.14881098,0.47265875,0.36006913,0.0437,0.0468,0.2343,0.1736,0.0839
57.400326,12.73,10.72774734906884,92.44294426241834,0.76083714,0.48838997,0.24576989,0.5394668,0.45745957,0.0309,0.04,0.2945,0.1783,0.0881
98.25258,21.75,10.728163670327346,92.44325264099187,0.7273005,0.47834477,0.1957672,0.47365677,0.4314472,0.0409,0.0446,0.2825,0.19,0.1009
49.45779,16.55,10.728578315790054,92.44356035306518,0.7516141,0.42852193,0.15879396,0.46925774,0.38890344,0.0363,0.0327,0.2306,0.1674,0.0833
109.784225,27.97,10.728994404889498,92.44386863212286,0.77580184,0.49942756,0.1849968,0.48054007,0.44968706,0.0358,0.0353,0.2796,0.1923,0.0981
242.4091,36.39,10.729826380055446,92.44448509795997,0.80656826,0.54614824,0.27493092,0.57540727,0.48269024,0.0356,0.0321,0.2998,0.1705,0.0808
167.47868,34.41,10.730243971077028,92.44479395852,0.78363836,0.55504733,0.2907498,0.5803529,0.50114733,0.0348,0.0402,0.3314,0.1821,0.088
56.897533,19.2,10.730659630585764,92.44510205079759,0.8100155,0.5945884,0.29683742,0.58534926,0.53042597,0.0336,0.0368,0.3506,0.1901,0.0917
195.16365,34.82,10.731079223567226,92.44541169461992,0.80104715,0.5281433,0.2883895,0.58740497,0.47308114,0.034,0.0323,0.2924,0.1615,0.076
109.1373,25.91,10.731496084142227,92.44572025430521,0.7899383,0.53320354,0.24825604,0.53056604,0.4795214,0.0346,0.0357,0.3042,0.1832,0.0933
116.206985,24.37,10.732332065540653,92.44633825926907,0.79908925,0.59113795,0.28732985,0.585458,0.5123669,0.0399,0.0375,0.3358,0.1859,0.0878
110.40481,21.41,10.732749881195105,92.44664718945184,0.82159054,0.5449476,0.25893417,0.5940725,0.49061027,0.0309,0.0295,0.3012,0.1773,0.0767
